regulator 	 regulated 	 sign
cpxr	ldtc	+	strong
flhdc	sroc	+	strong
crp	ilvb	+	strong
lrp	gltu	-	strong
uxur	lgor	-	strong
phob	phne_2	+	strong
oxyr	oxys	+	strong
ular	ulaa	-	strong
ihf	nirb	+	strong
crp	ugpc	+	strong
oxyr	sufd	+	strong
mqsa	mqsa	-	strong
ihf	cysi	+	strong
flhdc	flin	+	strong
phob	ydfh	+	strong
ompr	csgd	+	strong
soxs	marb	+	strong
hypt	metq	+	strong
h-ns	hns	-	strong
fadr	fadj	-	strong
cra	edd	-	strong
csgd	csge	+	strong
flhdc	flie	+	strong
flhdc	flhe	+	strong
argp	dnan	+	strong
oxyr	fur	+	strong
iscr	iscu	-	strong
mqsa	csgg	-	strong
h-ns	cas2	-	strong
nagc	nagc	-	strong
ihf	psts	+	strong
h-ns	flhc	+	strong
uxur	gntp	-	strong
hipb	hipb	-	strong
h-ns	nrdg	-	strong
fnr	grca	-	strong
fis	alav	+	strong
ydeo	uspd	+	strong
lexa	ptra	-	strong
tyrr	mtr	+	strong
ihf	cysj	+	strong
crp	nank	+	strong
higb-higa	higb	-	strong
nikr	nikr	-	strong
crp	paai	+	strong
crp	ppia	-	strong
nikr	nikb	-	strong
arca	hyae	+	strong
ihf	csgf	+	strong
crp	lsrk	+	strong
ihf	nuoh	-	strong
oxyr	sufe	+	strong
gade-rcsb	gada	+	strong
ihf	pstc	+	strong
h-ns	ssrs	-	strong
basr	hha	+	strong
mode	dmsa	-	strong
gade-rcsb	aslb	+	strong
cspa	hns	+	strong
lexa	ruva	-	strong
crp	ascb	+	strong
ydeo	hyaf	+	strong
narp	ydhx	-	strong
cuer	cueo	+	strong
iscr	isca	-	strong
soxs	pqib	+	strong
crp	paaf	+	strong
rcda	csge	+	strong
cpxr	tsr	-	strong
xylr	xylh	+	strong
galr	galt	+	strong
nagc	nagb	-	strong
galr	gale	+	strong
fur	oppb	-	strong
cusr	cusc	+	strong
cpxr	baes	+	strong
trpr	aroh	-	strong
crp	dusb	-	strong
nrdr	nrde	-	strong
cpxr	ycca	+	strong
ihf	ssub	-	strong
crp	casa	-	strong
puur	puub	-	strong
basr	cspi	+	strong
crp	ugpq	+	strong
pdel	pdel	+	strong
nrdr	nrdb	-	strong
ydeo	hyab	+	strong
relb-rele	hokd	-	strong
ada	alka	+	strong
fis	rrfg	+	strong
narp	nrff	+	strong
zrar	zrar	+	strong
crp	flhd	+	strong
cysb	ssua	-	strong
dnaa	guab	-	strong
fis	rrfh	+	strong
crp	agav	+	strong
hu	gale	-	strong
pdhr	cyoe	-	strong
ihf	hype	+	strong
caif	caib	+	strong
acrr	mara	-	strong
ular	ulaf	-	strong
ihf	nuok	-	strong
fis	rrsc	+	strong
dcur	frda	+	strong
fur	gspl	-	strong
h-ns	fimg	+	strong
ihf	ilvx	+	strong
fis	gltw	+	strong
dpia	citf	+	strong
mlc	ptsg	-	strong
crp	yial	+	strong
fliz	gadf	-	strong
dinj-yafq	cspe	-	strong
fur	gspo	-	strong
ihf	lyxk	+	strong
ydeo	gade	+	strong
fis	rnpb	+	strong
cysb	taub	+	strong
flhdc	flia	+	strong
phob	mipa	+	strong
blur	ymga	-	strong
oxyr	katg	+	strong
crp	nana	+	strong
narl	ydhw	-	strong
agar	agar	-	strong
lrp	lysp	+	strong
bira	biob	-	strong
csgd	wrba	+	strong
crp	paaj	+	strong
ihf	csgg	+	strong
cecr	ybhr	-	strong
uvry	csrb	+	strong
fhla	fdhf	+	strong
fnr	nirb	+	strong
fis	cbpm	-	strong
h-ns	cadc	-	strong
dica	dicc	-	strong
ydeo	gadf	+	strong
ihf	hypc	+	strong
argp	lysc	+	strong
trpr	trpa	-	strong
fis	nrfc	-	strong
nanr	nane	-	strong
fhla	hycc	+	strong
flhdc	flih	+	strong
glpr	glpf	-	strong
phob	cuss	+	strong
rutr	gadw	-	strong
ihf	glnh	+	strong
oxyr	ahpf	+	strong
soxr	soxr	-	strong
caif	fixc	+	strong
crp	araa	+	strong
narl	pflb	-	strong
lrp	argo	+	strong
fadr	fadh	-	strong
fur	rnpb	-	strong
fur	gspc	-	strong
mlra	csgd	+	strong
phob	cusb	+	strong
fis	alau	+	strong
arca	ssb	-	strong
lrp	gabd	+	strong
ntrc	glna	+	strong
gade	gltd	+	strong
crp	ivbl	+	strong
oxyr	trxc	+	strong
cpxr	chew	-	strong
ntrc	glng	+	strong
cusr	cusa	+	strong
puur	puup	-	strong
ihf	psta	+	strong
crp	paaz	+	strong
lrp	fimd	+	strong
baer	acrd	+	strong
mqsa	rpos	-	strong
arca	moeb	+	strong
fur	fur	-	strong
narp	nrfb	+	strong
crp	cytr	-	strong
crp	ugpe	+	strong
adiy	gltb	+	strong
ihf	nrfg	-	strong
agar	agav	-	strong
ihf	dmsb	-	strong
crp	cspe	+	strong
lrp	rrsb	-	strong
narl	narh	+	strong
crp	paag	+	strong
dpia	dpia	+	strong
ihf	yiao	+	strong
crp	glga	+	strong
cynr	cynr	-	strong
fnr	narg	+	strong
fis	adhe	+	strong
narp	ydhu	-	strong
torr	tnaa	+	strong
gals	galt	-	strong
narl	foca	-	strong
bira	biod	-	strong
csgd	csgf	+	strong
mode	hycc	+	strong
crp	gade	-	strong
h-ns	hdfr	-	strong
fis	nrfb	-	strong
fadr	fabg	+	strong
ompr	pgac	-	strong
crp	lsra	+	strong
yefm	yoeb	-	strong
ihf	gltd	+	strong
flhdc	yecr	+	strong
relb	relb	-	strong
gade-rcsb	yhim	+	strong
ihf	hypd	+	strong
phob	phnl	+	strong
mara	inaa	+	strong
fhla	hycf	+	strong
h-ns	gade	-	strong
lrp	csid	+	strong
fis	rrff	+	strong
mode	dmsb	-	strong
cra	fbaa	-	strong
gade	gade	+	strong
acrr	marb	-	strong
ompr	pgaa	-	strong
rcsb	sra	+	strong
arca	hyaa	+	strong
fliz	csgd	-	strong
rcsb	osmc	+	strong
stpa	ssrs	-	strong
mara	pqia	+	strong
ihf	hych	+	strong
phob	cusf	+	strong
narl	dcua	-	strong
csgd	flgn	-	strong
ydeo	slp	+	strong
h-ns	nrdb	-	strong
ihf	glnp	+	strong
adiy	gadb	+	strong
cpxr	cpxq	+	strong
flhdc	fliq	+	strong
glpr	glpk	-	strong
fur	garr	-	strong
h-ns	adiy	-	strong
fis	rrla	+	strong
ihf	yiam	+	strong
fur	ents	+	strong
uvry	ydep	+	strong
nrdr	nrda	-	strong
yqhc	yqhd	+	strong
crp	gpsa	+	strong
fhla	hype	+	strong
fis	gyrb	-	strong
ihf	gltb	+	strong
oxyr	hcr	+	strong
cusr	cusb	+	strong
dpia	citd	+	strong
arac	arad	+	strong
lrha	flhd	-	strong
crp	lacz	+	strong
ihf	fhla	+	strong
leuo	bglf	+	strong
fliz	flhc	-	strong
crp	nupg	+	strong
mode	moaa	+	strong
cpxr	dsba	+	strong
ydeo	appb	+	strong
mlra	rpma	+	strong
ihf	glmy	+	strong
fis	rrld	+	strong
h-ns	gspc	-	strong
phop	trer	-	strong
phob	psie	+	strong
crp	arag	+	strong
ydeo	yiis	+	strong
dica	ydfx	-	strong
ihf	nrfd	-	strong
mode	ccmh	+	strong
h-ns	gspe	-	strong
chbr	chbr	+	strong
h-ns	gltt	-	strong
csgd	ycct	+	strong
narl	nrfd	-	strong
lrp	rrlc	-	strong
gade	gltb	+	strong
ihf	nuoi	-	strong
ihf	ssud	+	strong
ada	aidb	+	strong
rclr	rcla	+	strong
fis	tyru	+	strong
argr	lyso	-	strong
hypt	metn	+	strong
ihf	yial	+	strong
ihf	phou	+	strong
gadx	gada	+	strong
chbr	chbc	-	strong
h-ns	gspd	-	strong
pdhr	ndh	-	strong
leuo	cas1	+	strong
trpr	mtr	-	strong
crp	mcas	+	strong
fnr	ydhy	+	strong
rcda	bluf	+	strong
mata	flhd	-	strong
fis	gltt	+	strong
puta	puta	-	strong
phop	bord	+	strong
h-ns	rcsb	-	strong
ydeo	hyaa	+	strong
ompr	ompf	+	strong
mara	soda	+	strong
crp	paah	+	strong
pepa	carb	-	strong
rcnr	rcnr	-	strong
ntrc	rpoe	+	strong
flhdc	flid	+	strong
flhdc	flik	+	strong
crp	guab	+	strong
crp	yiak	-	strong
uvry	csrc	+	strong
cra	crp	+	strong
crp	cyaa	-	strong
argp	dnaa	+	strong
glpr	glpd	-	strong
ihf	hypa	+	strong
rob	inaa	+	strong
basr	qseb	+	strong
crp	mety	-	strong
fur	oppd	-	strong
h-ns	gspb	-	strong
oxyr	sufb	+	strong
csgd	flih	-	strong
argp	lysa	+	strong
basr	dgka	+	strong
nac	nac	-	strong
mlra	csge	+	strong
