bait_locus	prey_locus
JW1774	JW5125
JW1796	JW0453
JW1796	JW1796
JW1806	JW1806
JW1806	JW3770
JW1812	JW1812
JW1831	JW0205
JW1838	JW0411
JW1838	JW1838
JW1839	JW1839
JW1843	JW0654
JW1843	JW1613
JW1843	JW1843
JW1850	JW1850
JW1853	JW0008
JW1853	JW2115
JW1853	JW5543
JW1853	JW5584
JW1857	JW0880
JW1857	JW1857
JW1884	JW0635
JW1888	JW0045
JW1888	JW0193
JW1888	JW0317
JW1888	JW1888
JW1890	JW0167
JW1890	JW2989
JW1890	JW3444
JW1890	JW5024
JW1890	JW5772
JW1898	JW1898
JW1911	JW0594
JW1911	JW5772
JW1913	JW0258
JW1913	JW0758
JW1913	JW4331
JW1913	JW5772
JW1926	JW2947
JW1927	JW0347
JW1927	JW1988
JW1927	JW3371
JW1927	JW4097
JW1927	JW5496
JW1929	JW0043
JW1929	JW0258
JW1929	JW5772
JW1943	JW2947
JW1945	JW0043
JW1945	JW0258
JW1945	JW0282
JW1945	JW5300
JW1945	JW5772
JW1946	JW2446
JW1948	JW5300
JW1949	JW0258
JW1949	JW2947
JW1949	JW5702
JW1951	JW2725
JW1953	JW1994
JW1956	JW2798
JW1956	JW5610
JW1958	JW0033
JW1958	JW0234
JW1958	JW3983
JW1958	JW5513
JW1958	JW5610
JW1986	JW0167
JW1986	JW2411
JW1988	JW0167
JW1988	JW5300
JW1988	JW5772
JW2002	JW0123
JW2004	JW2004
JW2007	JW0195
JW2007	JW0659
JW2007	JW2546
JW2007	JW4331
JW2010	JW0762
JW2011	JW2011
JW2012	JW5856
JW2017	JW5158
JW2026	JW0195
JW2026	JW0999
JW2026	JW2026
JW2026	JW5195
JW2042	JW1385
JW2051	JW2051
JW2051	JW2725
JW2058	JW0195
JW2058	JW0453
JW2058	JW2989
JW2070	JW0710
JW2077	JW0167
JW2082	JW0195
JW2105	JW0258
JW2105	JW2989
JW2105	JW5533
JW2105	JW5772
JW2117	JW3976
JW2118	JW2118
JW2131	JW2131
JW2137	JW3728
JW2142	JW3712
JW2153	JW0258
JW2153	JW2947
JW2156	JW0548
JW2156	JW2156
JW2161	JW1468
JW2161	JW1644
JW2169	JW4105
JW2181	JW0213
JW2181	JW5162
JW2187	JW5674
JW2200	JW0258
JW2200	JW2989
JW2201	JW2440
JW2201	JW3976
JW2201	JW5397
JW2205	JW2204
JW2205	JW2205
JW2205	JW2989
JW2222	JW0213
JW2222	JW4331
JW2226	JW0258
JW2226	JW2875
JW2226	JW2947
JW2242	JW0456
JW2242	JW2242
JW2249	JW0043
JW2254	JW1936
JW2257	JW2257
JW2263	JW2538
JW2267	JW5818
JW2268	JW2970
JW2268	JW2985
JW2270	JW2947
JW2278	JW2278
JW2278	JW2280
JW2278	JW2974
JW2280	JW2278
JW2280	JW2278 
JW2280	JW2280
JW2284	JW5923
JW2294	JW5376
JW2296	JW0129
JW2303	JW0403
JW2303	JW5125
JW2313	JW0180
JW2313	JW0939
JW2313	JW1165
JW2313	JW1172
JW2313	JW1385
JW2313	JW1884
JW2313	JW2577
JW2313	JW4331
JW2313	JW5543
JW2315	JW0043
JW2315	JW0167
JW2315	JW1994
JW2315	JW5300
JW2315	JW5787
JW2319	JW5082
JW2322	JW1693
JW2328	JW1165
JW2328	JW1506
JW2328	JW1884
JW2328	JW2947
JW2328	JW3531
JW2328	JW3926
JW2337	JW0443
JW2337	JW1956
JW2337	JW2161
JW2337	JW2924
JW2337	JW2989
JW2337	JW5346
JW2337	JW5387
JW2337	JW5674
JW2343	JW0180
JW2343	JW1253
JW2343	JW5520
JW2352	JW5772
JW2357	JW2516
JW2363	JW0195
JW2366	JW0453
JW2366	JW1994
JW2366	JW2258
JW2366	JW2701
JW2366	JW3839
JW2366	JW4079
JW2366	JW5091
JW2366	JW5300
JW2366	JW5787
JW2370	JW2370
JW2371	JW0195
JW2371	JW0403
JW2376	JW0195
JW2376	JW2376
JW2381	JW0195
JW2381	JW1142
JW2381	JW2376
JW2381	JW3446
JW2400	JW0195
JW2404	JW0093
JW2407	JW0195
JW2411	JW5351
JW2411	JW5434
JW2413	JW2989
JW2413	JW5346
JW2414	JW0519
JW2414	JW0702
JW2414	JW0709
JW2414	JW0916
JW2414	JW1239
JW2414	JW1956
JW2414	JW1994
JW2414	JW2136
JW2414	JW2332
JW2414	JW2683
JW2414	JW3182
JW2414	JW5300
JW2414	JW5969
JW2431	JW0258
JW2431	JW2136
JW2431	JW2268
JW2433	JW2435
JW2435	JW0594
JW2435	JW2433
JW2435	JW5772
JW2440	JW1165
JW2440	JW1695
JW2440	JW2131
JW2442	JW0594
JW2444	JW2442
JW2444	JW2444
JW2444	JW2836
JW2445	JW5230
JW2455	JW0167
JW2455	JW0195
JW2455	JW0885
JW2455	JW2433
JW2455	JW2455
JW2455	JW5117
JW2455	JW5300
JW2455	JW5772
JW2456	JW1994
JW2456	JW2040
JW2456	JW4196
JW2464	JW0167
JW2464	JW2671
JW2464	JW5772
JW2465	JW2440
JW2476	JW2136
JW2476	JW5702
JW2476	JW5772
JW2480	JW1328
JW2480	JW1956
JW2480	JW2989
JW2480	JW5543
JW2480	JW5702
JW2483	JW2483
JW2484	JW0709
JW2486	JW0196
JW2486	JW0213
JW2486	JW1707
JW2486	JW3208
JW2486	JW3925
JW2486	JW5125
JW2487	JW0195
JW2487	JW2487
JW2487	JW4261
JW2493	JW1301
JW2497	JW0983
JW2501	JW0093
JW2501	JW2501
JW2502	JW0167
JW2509	JW0167
JW2509	JW1258
JW2509	JW5300
JW2509	JW5772
JW2513	JW0459
JW2513	JW2511
JW2515	JW2515
JW2517	JW4342
JW2526	JW0043
JW2526	JW2683
JW2526	JW3011
JW2526	JW3446
JW2526	JW4342
JW2538	JW4342
JW2550	JW0258
JW2550	JW0939
JW2550	JW0998
JW2550	JW2342
JW2550	JW2989
JW2550	JW5434
JW2550	JW5543
JW2553	JW0305
JW2553	JW1336
JW2553	JW4268
JW2556	JW2557
JW2557	JW0258
