MYC 	BAGE5 	
MYC 	BAGE5 	
CTCF 	BAK1 	
RAD21 	BAMBI 	
GABPA 	BANF1 	
ETS1 	BANP 	
SIX5 	BANP 	
ZBTB33 	BANP 	
CHD2 	BANP 	
NRF1 	BANP 	
REST 	BARHL1 	
EGR1 	BAT2 	
IRF1 	BAT2 	
USF1 	BAT2L2 	
EGR1 	BAT3 	
ETS1 	BAT3 	
GABPA 	BAT3 	
SIN3A 	BAT3 	
MYC 	BAT3 	
MYC 	BAT3 	
MYC 	BAT3 	
BCL3 	BAT4 	
BCLAF1 	BAT4 	
ETS1 	BAT4 	
FOSL1 	BAT4 	
SPI1 	BAT4 	
SIN3A 	BAT4 	
GTF2B 	BAT4 	
CEBPB 	BAT5 	
STAT1 	BATF2 	
STAT1 	BATF2 	
STAT2 	BATF2 	
STAT2 	BATF2 	
USF1 	BAX 	
YY1 	BAX 	
YY1 	BAX 	
MAX 	BAX 	
NFE2 	BAX 	
USF2 	BAX 	
FOS 	BAZ1B 	
NFYB 	BAZ1B 	
FOSL1 	BAZ2A 	
ZBTB7A 	BBC3 	
SPI1 	BBS10 	
FOS 	BCAS3 	
NFYA 	BCAS3 	
NFYB 	BCAS3 	
EGR1 	BCAS4 	
RAD21 	BCAS4 	
CTCF 	BCAS4 	
EGR1 	BCDIN3D 	
MAX 	BCKDHA 	
SRF 	BCL2L12 	
JUN 	BCL2L13 	
TAL1 	BCL7B 	
E2F6 	BCL7C 	
GTF2B 	BCLAF1 	
BCL3 	BCR 	
BCLAF1 	BCR 	
CTCFL 	BCR 	
E2F6 	BCR 	
ETS1 	BCR 	
FOSL1 	BCR 	
GATA2 	BCR 	
HDAC2 	BCR 	
MAX 	BCR 	
SPI1 	BCR 	
RAD21 	BCR 	
SIN3A 	BCR 	
SIX5 	BCR 	
SP1 	BCR 	
SRF 	BCR 	
ZBTB33 	BCR 	
ZBTB7A 	BCR 	
MYC 	BCR 	
CTCF 	BCR 	
ATF3 	BCR 	
BDP1 	BCR 	
BRF1 	BCR 	
BRF2 	BCR 	
SMARCA4 	BCR 	
CCNT2 	BCR 	
JUN 	BCR 	
JUN 	BCR 	
JUN 	BCR 	
JUN 	BCR 	
MYC 	BCR 	
MYC 	BCR 	
GTF2B 	BCR 	
GTF2F1 	BCR 	
HMGN3 	BCR 	
SMARCB1 	BCR 	
IRF1 	BCR 	
JUND 	BCR 	
MAFK 	BCR 	
MAX 	BCR 	
MXI1 	BCR 	
RDBP 	BCR 	
NFE2 	BCR 	
NRF1 	BCR 	
EP300 	BCR 	
RAD21 	BCR 	
SIRT6 	BCR 	
SMC3 	BCR 	
STAT1 	BCR 	
STAT1 	BCR 	
STAT1 	BCR 	
STAT1 	BCR 	
STAT2 	BCR 	
TAL1 	BCR 	
GTF2B 	BCR 	
USF2 	BCR 	
XRCC4 	BCR 	
CTCF 	BCR 	
CEBPB 	BDP1 	
MAFK 	BEND7 	
CEBPB 	BEST1 	
EGR1 	BHLHE40 	
RAD21 	BHLHE40 	
ZBTB7A 	BHLHE40 	
CCNT2 	BHLHE40 	
CEBPB 	BHLHE40 	
HMGN3 	BHLHE40 	
SIRT6 	BHLHE40 	
USF1 	BLOC1S1 	
USF2 	BLOC1S1 	
ELF1 	BLOC1S3 	
USF1 	BLOC1S3 	
FOS 	BLOC1S3 	
NFYA 	BLOC1S3 	
NFYB 	BLOC1S3 	
IRF1 	BLVRB 	
TAL1 	BLVRB 	
GABPA 	BMS1 	
GABPA 	BMS1P4 	
TAL1 	BNIP3L 	
SIX5 	BOD1 	
EGR1 	BOKAS 	
SP2 	BPGM 	
FOS 	BPGM 	
NFYA 	BPGM 	
NFYB 	BPGM 	
ELF1 	BRAP 	
GTF2B 	BRAP 	
ZBTB7A 	BRD2 	
MYC 	BRD2 	
SMARCA4 	BRD2 	
MYC 	BRD2 	
MYC 	BRD2 	
MYC 	BRD2 	
GTF2B 	BRD2 	
NRF1 	BRD2 	
GABPA 	BRD9 	
GABPA 	BRF2 	
SP2 	BRIX1 	
JUN 	BRIX1 	
MYC 	BRIX1 	
POLR3A 	BRMS1 	
THAP1 	BRP44 	
YY1 	BRP44 	
YY1 	BRP44 	
NRF1 	BRP44 	
GATA2 	BSDC1 	
JUN 	BSDC1 	
TAL1 	BSDC1 	
USF1 	BSG 	
TAL1 	BSG 	
REST 	BSN 	
GTF2B 	BST2 	
STAT1 	BST2 	
STAT1 	BST2 	
