Isoform_ID	Interactor_Symbol
ZNF688_4	TADA2A
ZNF688_4	TCF4
ZNF688_4	TRAF1
ZNF688_4	TRIP6
ZNF688_4	TRIP6
ZNF688_4	MKRN3
ZNF688_4	BLZF1
ZNF688_4	CADPS
ZNF688_4	PSTPIP1
ZNF688_4	PNMA1
ZNF688_4	FHL5
ZNF688_4	MAGED1
ZNF688_4	TRAF4
ZNF688_4	TMCC2
ZNF688_4	ABI2
ZNF688_4	CALCOCO2
ZNF688_4	SPAG5
ZNF688_4	KHDRBS3
ZNF688_4	PNMA2
ZNF688_4	EHMT2
ZNF688_4	MID2
ZNF688_4	WWP2
ZNF688_4	FCHO1
ZNF688_4	TENC1
ZNF688_4	LDOC1
ZNF688_4	CEP72
ZNF688_4	ZC4H2
ZNF688_4	RPGRIP1
ZNF688_4	HOMEZ
ZNF688_4	RINT1
ZNF688_4	CARD9
ZNF688_4	CARD9
ZNF688_4	CCDC136
ZNF688_4	HMBOX1
ZNF688_4	BEND5
ZNF688_4	CCDC33
ZNF688_4	CEP70
ZNF688_4	KIAA1712
ZNF688_4	USHBP1
ZNF688_4	KRTAP4-2
ZNF688_4	GPRASP2
ZNF688_4	SSX2IP
ZNF688_4	SSX2IP
ZNF688_4	KRT40
ZNF688_4	MIPOL1
ZNF688_4	KHDRBS2
ZNF688_4	SPERT
ZNF688_4	RFX6
ZNF688_4	CCDC57
ZNF688_4	CCDC36
ZNF688_4	KRTAP12-2
ZNF688_4	KRTAP10-9
ZNF688_4	KRTAP10-3
ZNF688_4	NOTCH2NL
UPP2_1	MEOX2
UPP2_1	SIAH1
UPP2_1	SIAH1
UPP2_1	UPP2
UPP2_2	SIAH1
UPP2_2	UPP2
UPP2_4	SIAH1
TSTD2_1	IKZF3
TSTD2_1	L3MBTL3
TSTD2_1	SSX2IP
TSTD2_1	SSX2IP
DYX1C1_1	STUB1
DYX1C1_1	CCDC99
DYX1C1_3	TRIM23
DYX1C1_3	KRT13
DYX1C1_3	EXOC5
DYX1C1_3	CCDC99
DYX1C1_3	EFCAB4A
EFHA1_2	GPRASP2
TEX9_1	GOLGA2
TEX9_5	GOLGA2
TEX9_5	RINT1
ZKSCAN4_1	ZNF434
