SPI1 	ATAD2B 	
YY1 	ATE1 	
USF1 	ATF1 	
ZBTB33 	ATF2 	
BRCA1 	ATF2 	
CHD2 	ATF2 	
BCLAF1 	ATF4 	
POU2F2 	ATF4 	
POU2F2 	ATF4 	
YY1 	ATF4 	
CHD2 	ATF4 	
CHD2 	ATF7 	
RAD21 	ATG16L1 	
CTCF 	ATG16L1 	
SPI1 	ATG16L2 	
ATF3 	ATG3 	
USF1 	ATG3 	
NFE2 	ATG3 	
USF2 	ATG3 	
YY1 	ATG4B 	
ELF1 	ATG4C 	
SIX5 	ATG4C 	
PBX3 	ATG9A 	
RAD21 	ATL1 	
ZEB1 	ATMIN 	
CTCF 	ATMIN 	
CTCF 	ATN1 	
CTCF 	ATN1 	
YY1 	ATP13A1 	
PBX3 	ATP5B 	
SP1 	ATP5B 	
FOS 	ATP5B 	
CHD2 	ATP5C1 	
SIX5 	ATP5D 	
ZNF143 	ATP5D 	
SP1 	ATP5G1 	
FOS 	ATP5G1 	
CTCF 	ATP5G2 	
CTCF 	ATP5G2 	
CTCF 	ATP5G2 	
CTCF 	ATP5I 	
CTCF 	ATP5I 	
NRF1 	ATP5I 	
YY1 	ATP5J2 	
ZNF143 	ATP5J2 	
NRF1 	ATP5O 	
ZNF143 	ATP5O 	
PBX3 	ATP6AP1 	
ATF3 	ATP6V0B 	
USF1 	ATP6V0B 	
NFE2 	ATP6V0B 	
USF2 	ATP6V0B 	
NFE2 	ATP6V0C 	
ATF3 	ATP6V0D1 	
ELF1 	ATP6V0D1 	
USF1 	ATP6V0D1 	
FOS 	ATP6V0D1 	
CTCF 	ATP6V0D1 	
NFE2 	ATP6V0D1 	
USF2 	ATP6V0D1 	
USF1 	ATP6V0E1 	
REST 	ATP6V1B2 	
USF1 	ATP6V1C1 	
NFE2 	ATP6V1C1 	
USF2 	ATP6V1C1 	
CTCF 	ATP6V1D 	
NRF1 	ATP6V1D 	
ATF3 	ATP6V1G1 	
USF1 	ATP6V1G1 	
FOS 	ATP6V1G1 	
NFE2 	ATP6V1G1 	
USF2 	ATP6V1G1 	
RAD21 	ATP6V1G2 	
CTCF 	ATP6V1G2 	
CTCF 	ATP6V1G2 	
CTCF 	ATP6V1G2 	
ELF1 	ATP6V1H 	
USF1 	ATP6V1H 	
NFE2 	ATP6V1H 	
USF2 	ATP6V1H 	
FOS 	ATPIF1 	
ELF1 	ATR 	
EGR1 	ATRN 	
RAD21 	ATXN1 	
EGR1 	ATXN2L 	
EGR1 	ATXN2L 	
USF1 	ATXN3 	
USF2 	ATXN3 	
ZNF143 	AUP1 	
ELF1 	AURKA 	
SRF 	AURKA 	
BCLAF1 	AURKAIP1 	
ELF1 	AURKAIP1 	
GABPA 	AURKAIP1 	
SIX5 	AURKAIP1 	
CHD2 	AURKAIP1 	
EGR1 	AVPI1 	
PBX3 	AZI1 	
BCLAF1 	B2M 	
POU2F2 	B2M 	
POU2F2 	B2M 	
SPI1 	B2M 	
NFKB1 	B2M 	
NFKB1 	B2M 	
RFX5 	B2M 	
CTCF 	B3GALNT2 	
ELF1 	B3GALT6 	
YY1 	B3GALT6 	
EBF1 	B3GAT3 	
EBF1 	B3GAT3 	
EP300 	B3GNT1 	
ZEB1 	B3GNTL1 	
SRF 	B4GALT1 	
CTCF 	B9D1 	
CTCF 	B9D1 	
YY1 	B9D2 	
ZEB1 	BAIAP2L1 	
GABPA 	BANF1 	
PAX5 	BANK1 	
SPI1 	BANK1 	
ETS1 	BANP 	
SIX5 	BANP 	
ZBTB33 	BANP 	
BRCA1 	BANP 	
CHD2 	BANP 	
NRF1 	BANP 	
ZNF143 	BANP 	
REST 	BARHL1 	
RAD21 	BASP1 	
RAD21 	BAT1 	
EBF1 	BATF 	
EBF1 	BATF 	
EBF1 	BATF 	
ATF3 	BAX 	
EBF1 	BAX 	
EBF1 	BAX 	
USF1 	BAX 	
YY1 	BAX 	
EBF1 	BAX 	
NFE2 	BAX 	
USF2 	BAX 	
PBX3 	BAZ1B 	
SP1 	BAZ1B 	
SPI1 	BBS10 	
PBX3 	BBX 	
PBX3 	BCAS3 	
SP1 	BCAS3 	
FOS 	BCAS3 	
CHD2 	BCAS3 	
EGR1 	BCAS4 	
RAD21 	BCAS4 	
TCF12 	BCAS4 	
CTCF 	BCAS4 	
CTCF 	BCAS4 	
NRF1 	BCCIP 	
MAX 	BCKDHA 	
SRF 	BCL10 	
SRF 	BCL10 	
RAD21 	BCL2 	
SPI1 	BCL2A1 	
NFKB1 	BCL2A1 	
NFKB1 	BCL2A1 	
EBF1 	BCL2L10 	
SRF 	BCL2L12 	
TCF12 	BCL3 	
RAD21 	BCL6 	
CTCF 	BCL6 	
RAD21 	BDH2 	
CHD2 	BDNFOS 	
CTCF 	BECN1 	
CTCF 	BECN1 	
SPI1 	BHLHA15 	
BATF 	BHLHE40 	
BCL11A 	BHLHE40 	
BCLAF1 	BHLHE40 	
EBF1 	BHLHE40 	
EBF1 	BHLHE40 	
MEF2A 	BHLHE40 	
MEF2C 	BHLHE40 	
PAX5 	BHLHE40 	
PAX5 	BHLHE40 	
RAD21 	BHLHE40 	
TCF12 	BHLHE40 	
EBF1 	BHLHE40 	
ZNF143 	BICD2 	
BATF 	BID 	
EBF1 	BIN2 	
EBF1 	BIN2 	
SPI1 	BIRC3 	
TCF12 	BIRC3 	
NFKB1 	BIRC3 	
NFKB1 	BIRC3 	
ZNF143 	BIRC5 	
