InteractorA	InteractorB
Q9S7W5	Q93Z00
Q39057	Q9SLG0
P46014	Q9C5S9
Q8LG64	P25071
Q38869	O23680
Q94F58	Q9FI10
Q9LQ65	P59220
Q9SKN2	P30187
Q39050	Q9S744
Q9SND6	Q9S744
Q9FX43	Q8GYQ5
Q39255	Q9SKK0
Q94JY4	Q9LP46
Q8GY79	Q8GY79
Q9LZW4	Q8LAS7
P93004	Q8VZ95
Q9CAJ0	Q9FGM1
EBI-1789434	Q39162
O80719	Q39023
O48726	Q9SII8
Q9ZNV8	Q9C5U2
Q29Q72	P25854
Q9LXJ0	Q42545
P38418	O04663
Q84JG2	Q9CAJ0
Q3EBC8	Q9SP32
O81292	P30187
Q9XF67	Q9FG74
Q8GYP4	P59220
O64903	O64903
EBI-2267178	EBI-2267178
Q9XF67	F4I4F2
Q39011	Q9LN63
O22476	O22476
Q9ZWJ9	AT5G11770
P94102	Q7Y1C5
Q7Y1C4	Q9XIR8
Q7Y224	P25071
Q9LQ65	Q9S744
Q9SZ03	P25071
O65469	P59220
Q8W2F3	Q9FE22
Q9M7Q2	P59220
Q8H1E4	Q9M8J9
Q9FGZ5	P25854
Q9SS94	Q9SS94
P27450	Q03509
Q5XXJ3	P25854
Q9LKF9	Q9FGR0
O81292	Q03509
Q9FPR2	F4JS25
P93836	P93836
Q9SJX8	P25071
Q9LX56	O23320
Q9LSI9	P25854
P94102	Q7Y1C4
Q70E96	Q03509
Q9XF67	Q9M1P3
Q9ZPX9	Q9SVG9
Q94FB9	Q94EI3
O23145	O23320
Q9FLV4	Q9S744
Q93Z27	Q03509
Q9LDI3	P25071
Q9ZNV9	Q9ZWJ9
Q8H1E4	Q8H1E4
Q9M8T0	Q03509
Q9SND6	Q03509
Q9ZWS6	Q67XQ1
EBI-2113583	Q9SK33
Q8VZW1	Q9FZ98
Q9SJX8	Q03509
Q9ZNV8	Q9ZWS7
Q9FX43	Q39026
Q7X9V2	Q8LGE3
C6KIE6	Q9XIB5
Q9M9C3	P25854
O04027	Q9LX49
Q9ZVN6	Q8LPK4
Q9SYX2	Q9FE22
Q8RY59	Q9LKW9
Q9FDX1	Q39255
Q84L32	P55034
Q8RWC9	O81445
P49677	P49677
O22763	O23320
O04663	Q9SMW7
Q9SUP6	Q8RY71
Q9ZNV9	Q9SB04
Q9FLL0	Q9S744
Q9M155	Q9M223
Q9SIN1	Q9ZPS9
Q9LYG8	Q9S744
Q8RWC9	Q8LAS7
Q9FLL0	P25854
Q9LJL9	Q03509
P27450	P25071
Q03509	Q94AA4
O22763	Q9LZP8
Q9SAH7	EBI-2113575
Q9T074	P25854
Q8VYG7	O23320
Q9SAH7	Q9C5T4
O22265	Q8LBP4
O04197	Q9LVI4
Q93XM6	P30187
Q39024	Q39024
Q84LG2	EBI-1793589
Q9LFT8	Q9LKA5
Q8W104	Q0WNX9
P30187	Q9LYL6
Q5XXJ3	O23320
Q39023	O80719
Q8GUU3	Q9LKF9
P55737	P59220
O48963	O48963
Q9FHW2	Q7X9V2
Q9FGX2	Q9S744
Q6NPE9	Q8L7W3
O49552	Q8LGH4
Q96524	P14713
O23552	Q03509
Q29Q72	P59220
Q8VZK4	P30187
Q8VZS8	Q9CAJ0
Q42479	P25071
Q39016	Q9C944
Q9LV04	Q9S744
P55034	Q84L32
Q9SJF3	Q9LTT8
Q70E96	Q9S744
Q8GWF1	EBI-1993240
Q39191	Q9ZSJ6
EBI-2113588	Q9SAH7
Q9LQT8	Q39057
Q9C8W7	Q42328
Q9LVI4	Q9LVI4
EBI-9248106	P93024
Q67XQ1	Q7G8V2
Q9LV04	P30187
P25854	Q9FHN8
Q8GYF5	P30187
Q1PFB9	Q9XF67
Q38847	P59220
Q9C5U1	Q9C5U2
P43254	Q9SK53
Q8LAW2	P30187
Q9FV71	Q9FNY2
Q4PSU4	P59220
Q9SND6	P25854
P43273	EBI-1804749
Q501B2	EBI-1793589
Q7X9H6	P30187
O64817	Q9S744
Q8RWQ8	P25854
Q84L31	P55034
Q9LQ65	P25071
Q8GY11	P25854
Q8GY88	P25071
Q9M9C5	P59220
Q9SV31	Q08733
Q9FGZ5	Q03509
P29383	O23320
P92958	Q93V58
Q9M7Q2	P30187
P27450	Q9S744
Q3EBC8	O04492
P92525	Q9S744
Q9SEE9	P51567
Q4PSE3	P30187
Q9FL19	Q9S744
Q9LFU3	O23320
Q9SGN7	P25854
P49177	Q93V47
F4K210	Q9LD55
Q7X9H6	P25854
Q9S7H5	P59220
Q9LFU3	P59220
Q9ZVM9	O23320
Q9LFU3	P30187
O64682	O64682
Q9C5U2	P42697
Q39010	Q03509
O22179	Q03509
Q9FN02	P25854
P83755	Q03509
Q8LE56	Q9S744
Q93VH1	Q8GWB3
Q8RWQ8	P25071
O22179	P25854
O22763	P59220
Q39011	Q8S307
Q39160	Q39160
AT1G79010	Q9ZWJ9
O23552	P25854
Q9SYU4	Q9SRQ3
Q93XM6	P25854
AT5G08530	Q9ZWJ9
Q9SZ03	P30187
Q9SLH3	Q940G6
Q38874	P48731
Q9LJY7	Q03509
Q8LPK4	Q9ZVN6
P55737	P25854
Q6R0E4	P59220
Q7X9N2	P30187
Q9SEE9	Q42404
Q9LQ65	P30187
Q9C5T4	Q9SAH7
Q9M9C5	P30187
Q9M1G6	EBI-1578952
Q39255	Q9ZR12
Q8H1D6	P25071
Q94JM3	Q39011
Q9FUY2	O22456
Q9SLP1	Q9S744
P25069	Q9FHN8
Q93Z00	Q9FK45
Q39238	Q9LS09
Q8RY79	Q8RY79
Q9LX56	P25071
Q9ZWS7	Q67XQ1
Q9SZJ6	P59220
Q9FJK3	Q03509
Q9ZPE4	P30187
Q9FM43	P25071
Q9LKA4	P59220
Q9LW45	P30187
Q9SKN2	P59220
EBI-1793589	P42776
O49160	Q9C5Z3
Q9SUP6	O23320
Q8GYQ5	Q84JU4
Q9ZWJ9	Q9ZNV8
P92525	P30187
Q9ZUI9	P25854
Q38847	P25854
A4D998	Q39011
Q9LKA4	O23320
Q9C5U2	Q9SAZ5
Q93Z30	Q9S744
Q9ZUI9	Q03509
Q39163	Q39163
Q05609	P49333
Q9XF67	Q05999
Q9SUP6	P59220
Q2V359	P59220
P93050	P25854
P93002	P43273
Q9SND6	P30187
Q9SCU5	Q9C5U0
Q9SZJ6	P25854
Q6AWX6	Q94JY4
Q84MD8	O23320
P46014	Q9SYQ8
Q8LG64	Q03509
Q9LHI7	Q03509
Q9SJG9	Q9SJG9
O81472	Q39024
Q9LUI6	P59220
Q39090	Q00958
P93022	Q9SN12
Q39254	P25854
Q70E96	P25854
Q84VQ1	Q944A6
P22953	O65373
Q9LW66	P59220
Q9SYP2	Q9S744
Q9C8Z9	Q9LXG5
Q9LZM1	Q9SHC8
Q9ZVM9	P25071
Q9S814	P49333
O49839	Q03509
Q9FUY2	P35631
Q8GZM7	Q8GZM7
Q7X9H6	P59220
Q6NKS4	Q6NKS4
Q9LQQ9	Q9FJV0
Q39009	Q7Y1C5
Q93Z27	P30187
O49839	P25854
Q8GYF5	P25071
O64816	O64816
Q8GY79	O04492
Q9LJY7	P59220
P92973	Q08467
Q9FL19	P25854
O04492	Q8GY79
O64816	Q9LD95
Q058P7	O80480
Q9FIW6	P25071
O22179	O23320
Q9SSC7	P30187
Q682T9	Q9FHN8
O22763	P25854
Q9ZSZ8	Q8LGG0
Q39010	Q9S744
P20649	O23144
Q9LUI6	Q9S744
Q9SDB3	P25854
Q9LEZ2	O23320
Q9LW66	O23320
Q5W7F2	P42697
Q9SSF8	P59220
Q8VZ95	Q9SHG7
O64517	O64517
Q9LV04	P25071
Q9LNX6	P25854
Q9SUA3	Q9XF67
P30187	Q84WC8
Q9SJX8	P30187
P40228	P92973
Q9SYP2	O23320
Q9LHI7	O23320
Q9LZM8	P46639
Q9FJK3	P25854
Q9SK33	EBI-2113588
Q9LX99	Q9SEX2
Q9ZUB3	O48661
O04292	Q9LEZ3
Q8GY11	O23320
Q9M7Q2	P25071
P93050	O23320
Q9SYM2	P43254
O22763	P30187
Q9LQQ9	Q9LQQ9
Q9SSF8	P25071
Q9FLV4	Q03509
Q9LV04	P59220
Q9SYS3	Q03509
Q8LE56	O23320
Q9FIK0	Q9S744
Q9C5C0	Q9S744
Q8W490	Q9S744
O48814	O23320
Q7XJK8	Q9S744
EBI-2113583	Q9C5T4
Q9M8W6	P25854
C0LGH4	Q9S744
Q9SYS3	O23320
P30187	Q9SGN7
O04567	P30187
Q9FHZ1	Q9S744
P92973	O81275
D3K0M2	P25071
Q8LPR4	Q03509
O22042	Q03509
Q9ZUI9	P30187
Q9FJK3	P30187
Q9SN12	O24409
O24646	Q9LQZ7
Q2V359	P25854
Q9LJL9	P30187
Q8GYF5	P25854
Q9SYQ8	Q9SYQ8
P19456	Q01525
Q8RWQ8	P30187
Q38869	Q9SZY7
Q94EI3	Q94FB9
Q9XI87	Q9ZPS9
Q93Z00	Q9SLK2
Q4PSE3	P59220
Q9SGN7	Q9S744
Q5XXJ3	P30187
Q9FMZ0	Q9ZWC8
Q9M2K4	Q03509
Q9SZ03	P59220
Q94BM7	P43254
Q9FV71	Q9FNY3
Q39019	P25854
Q39212	Q9SY69
EBI-1806195	Q9FRL5
Q8VYG7	Q03509
Q38869	O23338
Q0WPH8	P25854
O49686	Q9CAJ0
Q9SUP6	Q9S744
Q39010	P25071
Q39016	O80800
Q9LUA9	Q8RY59
Q2V359	P30187
Q9SJX8	P59220
P49333	P49333
P92525	P25854
Q9FIK0	P25854
Q8W490	P25854
EBI-2933655	Q9ZSM8
Q9SYT0	Q8RWH3
Q9FME9	P30187
Q84JC2	Q9S744
Q9FIK0	Q03509
P83755	P25071
P42752	Q9LZ78
Q9LHI7	P25854
Q9FGX2	P25071
Q8GWV6	Q1H5F3
O22763	P25071
Q39021	P25854
Q9FL19	P59220
Q9FMC2	Q03509
Q8LGH4	Q9M0V3
Q9LZP9	P25856
Q9M9C3	P25071
Q9LDI3	Q7FRS8-2
Q944J2	P25854
EBI-2113581	Q9SK33
Q42479	P30187
P30302	Q9ZVX8
P54609	P54609
Q9M9C3	Q03509
EBI-2113581	Q9C5T4
Q9SSF8	P25854
Q9FGZ5	P30187
Q9FMC2	P25071
Q9S7H5	Q03509
Q9LD45	P59220
Q9FIW6	P30187
Q9C6B8	O64682
Q84VX3	Q84MB2
Q8LG64	Q9S744
Q8LPR4	Q9S744
Q39218	Q43725
Q9ZST4	Q9SCL7
Q70E96	P25071
Q9LDI3	P30187
Q9M012	Q9SIY7
P92983	Q38869
Q9LX56	Q03509
Q9FNY2	Q9FNY0
Q84WW1	P30187
Q39083	Q38869
Q9C5T4	EBI-2113583
Q9FUD3	P59220
Q9SAZ5	Q9SB04
Q9LJY7	P25854
Q9C5S9	P46014
Q9LDI3	O23320
C0LGH4	P25854
EBI-1793589	P42774
O64471	Q9LHE5
P18064	Q8H1F2
Q9LTM4	P59220
AT5G11770	Q9ZWJ9
O80536	Q8GZM7
Q9M844	P59220
Q9C5T4	EBI-2113588
Q9C5U2	Q9C5U2
Q2V359	P25071
Q9LZV7	O23320
Q9C5U0	Q9C5U1
Q9SJA8	P25069
O81292	O23320
Q9LZP9	P25697
Q75QN6	Q9C5C0
Q94F58	Q9LVC0
O64816	O24629
Q9FX31	Q8L7H4
P83755	P30187
Q39050	P25854
Q9LZV7	P59220
Q9C5C0	P30187
Q9FGX2	P30187
Q38874	Q9LZM8
Q9C5C0	P59220
Q944A7	O22476
EBI-1798351	Q9STM3
Q05609	O22267
Q8H1D6	P59220
Q9C4Z7	Q9C4Z7
Q8GY11	Q9S744
Q8GWR2	Q9C7N3
Q39083	Q39016
Q944Q0	Q944Q0
Q8L940	Q9ZNR6
Q9C7R6	P25071
P43291	Q39090
Q940G6	Q8GXW1
Q84WC8	P25071
Q8L7G0	EBI-9248106
Q9FE22	Q9M0K4
Q9C5U2	Q9FM19
Q9LX56	P30187
Q9FLL0	P59220
P27202	Q8VZW1
O23145	P30187
Q9C5U2	Q9ASS6
P92973	P40228
Q9M7Q2	Q03509
Q8GY88	Q03509
P27450	O23320
P92525	P59220
Q9FIK0	P30187
Q9SSC7	P59220
Q38847	P30187
Q94BN0	Q38869
Q8GZ99	Q9S744
Q9LKB9	Q9ZRE2
Q9C758	B7U179
Q9MAB4	Q9S744
Q9LJ45	P24100
F4K210	Q42347
Q9M1Z5	Q9M1Z5
Q9FMH8	Q9XI01
Q9LZ78	P24100
Q8RYD9	P25854
P43254	Q9FE22
B9DGI8	B9DGI8
Q93WJ9	Q9FNR3
P27450	P25854
Q9LMN7	Q9SL15
Q944J2	P59220
Q9LFU3	P25854
P25069	O82345
P51567	Q9SEU4
Q9FKF6	P24100
Q42479	P25854
Q38885	Q8LBP4
O22265	O22265
Q9LMM5	Q94A06
Q9SSF8	Q9S744
Q9M9C3	P59220
P43254	Q39057
Q9SL70	P25854
O64817	P25854
Q9SU94	Q9SU94
Q9FHN8	F4IIU4
Q9FJV0	P25071
Q9LVG2	P92958
Q9M2L4	P25854
Q38997	Q944A6
Q6NPM7	Q94AX2
Q9LQ65	Q03509
P55737	P25071
Q9S750	Q9S750
D3K0M2	Q9S744
Q9SCL7	Q9ZST4
Q8VZ95	Q84W04
Q9FDX9	P49177
Q8LEQ0	O04204
EBI-1806204	Q9FRL5
Q29PQ8	Q9SAZ5
Q8GYF5	O23320
O80513	P24100
Q42545	Q9FIG9
Q93Z27	O23320
Q84W66	Q9LX49
Q9C7N3	Q8GWR2
Q8LPR4	P25071
C0LGH4	P59220
Q5XXJ3	P25071
Q84LH8	Q9FE22
Q9LTW2	P25071
Q9SA23	Q946Y7
Q8LAS7	Q8RWC9
P25854	Q8GZ99
Q9LFU3	P25071
P43294	P25854
Q9ZRF9	P25854
Q6BDA0	Q9LN63
Q9ZPE4	Q9S744
Q38876	P25854
Q8RWY0	P25071
P40940	Q8S2T0
Q8LPR4	O23320
