InteractorA	InteractorB
P38998	P40318
P0CG63	Q03649
P40106	Q06525
P25694	Q04228
P40563	P15891
P53281	P40563
Q06078	Q02354
P36077	P40073
P11938	Q08649
P47129	P32793
P25454	P25454
P40095	P43603
P0CG63	P25389
P40568	P25651
P0CG63	P10664
P53265	P46995
P0CG63	P32288
P53101	P33203
P38140	P39743
P04821	Q06604
Q08412	P39743
P32793	P15891
P32634	P43603
P32523	Q06525
EBI-12514192	P0CY08
P40073	Q12446
P53955	P39743
P37370	Q04439
P40318	P54007
P29366	Q03497
P47137	P43582
P10356	P40318
Q02630	Q99257
Q04638	P05453
P53108	P39940
P13574	P14681
P0CG63	P00360
P40318	P00925
P53112	P32793
P47068	P32581
EBI-11701537	Q08647
P0CG63	P05735
Q07688	P39928
P07271	P47068
P80667	Q06604
Q08645	P33203
P53083	P39940
P47037	Q99359
Q03774	Q12009
P53914	EBI-10821373
P35734	Q00684
P15891	Q08873
P52870	Q12154
Q12446	P80667
P40986	P43603
P38790	P33203
P32361	P32361
P32790	P43603
P40318	P10963
P40091	P39523
P36149	Q03630
P29366	P54199
Q03919	P46995
P40217	P22696
P22204	P38074
P38739	P43603
P41816	Q08409
P0CG63	P39708
P53101	P40318
Q08109	P25694
Q04067	P40217
P25651	P25651
P29311	P38165
P38741	P39940
P53750	P15891
Q00684	P38826
P32381	P33203
P04147	P36102
P00817	P40318
Q08229	P11433
P25604	P40343
P53738	Q12463
P36140	P39940
P04821	Q07451
P53051	P33203
Q04458	P40318
P47177	P39940
P13365	P00546
Q01590	P22214
Q00916	P43603
P14907	Q06142
Q05080	P53169
P39743	Q12164
P40075	Q00402
P32790	P13134
P32790	P06783
Q12510	P38041
Q02555	EBI-10821812
Q07914	P42949
P15019	P43582
P80667	P38266
P0CG63	P05756
P43603	Q12510
P53131	P53866
P0CG63	P36075
P0CG63	P39111
P40959	P22696
P32499	P32499
P53220	Q02776
P46984	P46995
P47148	P33203
P48510	O13563
Q06102	Q06224
P87282	Q06525
P53281	P39940
Q05080	P39955
P32862	P43603
EBI-11701336	Q12400
P11154	P33203
Q12263	Q07657
P46669	P50106
P47129	P39743
Q08444	P39940
P0CG63	P10614
P53063	Q02792
P53281	P43582
P80667	Q12168
Q02776	P53220
P10963	P33203
P53038	P53038
P38827	P61830
P38779	P40303
P39940	P39940
P39014	Q12018
P35202	Q08409
P20095	P33203
P48234	Q06631
P53112	P35056
P32526	P47068
Q05979	P39940
P53265	P40318
Q07505	P33203
P14736	P06779
P39743	Q03780
P39081	P25298
Q00453	P39940
P0CG63	P22133
P23254	Q06525
P32356	P29311
P25561	P40318
P07347	P12945
Q08968	P39940
P48562	P29366
P43603	P38266
P46680	P40318
P40453	Q04439
P20436	P33203
P19073	Q03497
Q12532	P39743
Q04439	Q08989
P40021	P80667
P32490	P38822
P07260	P39935
Q07505	P40318
P38634	P17157
P38713	P32368
P47150	P38041
P0CF34	Q99312
P06784	P14681
P34219	P11792
P00925	P22696
P25039	P39940
P40494	P80667
P14242	P53281
P29539	P29539
P38361	P38361
P06103	Q04067
Q04322	P43603
P32497	P32911
P39015	P43582
P38249	P32497
P0CG63	P25491
P0CG63	P05739
P11710	P53750
P0CF34	Q03018
P53750	P80667
P32581	P04821
P24814	Q12018
EBI-11701334	P31115
EBI-10860871	P32495
P38934	P22696
P00546	P32917
P38302	Q03654
P25298	P25299
P53982	P33203
P37254	P40318
P32913	P53093
P0CG63	P52910
P41695	P26449
P25561	P43582
P02829	P02829
Q12122	P43582
P40021	P36006
P30952	P40318
P15891	P17555
P10356	P33203
Q06208	P11938
P40968	P40968
P38787	P33203
Q08457	P53135
P54199	P54199
P0CG63	P32047
Q01454	P40318
P36006	Q12451
P10080	P17505
P47102	P32074
P43603	P38140
P0CG63	P53622
P39946	P39946
P38736	Q01590
P38753	P53169
P38158	P33203
P25694	P53741
Q06623	P53973
P16892	P08539
Q08912	Q04439
P47068	Q12179
P39935	P07260
P38998	P33203
P06787	P32380
P25623	P25623
Q03071	P53861
P38758	P33203
Q12446	P38822
P32639	Q03338
Q06597	P46995
Q03497	Q04439
P06787	P22696
P40559	P33203
Q06628	P53104
P0CG63	P54860
P0CG63	P35271
Q12306	P35187
P0CF34	P53750
Q04839	Q12315
P43603	Q12446
P80667	P53955
P40563	P36006
P02829	P15705
P35202	P33203
P36132	P53323
P07834	P52286
P02309	Q08649
P43558	Q08109
P15274	P39940
EBI-11701142	Q12400
P39929	Q04272
P0CF34	P11986
P0CG63	P40087
EBI-11705717	P38205
Q05080	P38090
P15496	P33203
P46995	P04802
P23542	P43582
Q06405	Q06525
EBI-11701142	Q12383
Q03338	EBI-10824938
P38266	P39743
Q02831	P39940
P38870	P43603
Q12472	P39940
Q12168	P53281
P43558	P00729
Q12122	P46995
P80210	P46995
P0CG63	P41805
P47176	P22696
P38779	P07834
P40969	P17106
P04911	P14737
Q06549	Q06549
P38764	P32628
P25298	P39081
P0CG63	P38626
P0CG63	P53978
P11433	Q08229
P0CG63	P40327
Q08109	Q04228
Q12446	P40073
P53864	P33203
P23542	P40318
Q04336	Q08409
P53955	P43603
Q12163	P48562
P37370	P36006
P53220	Q12328
Q12453	Q02630
P25576	P33203
Q05979	P40318
P47101	P11710
P38987	P47113
P33399	P22696
P31374	P39743
Q02776	P04037
P04821	P24482
P0CG63	P05753
P23542	P53076
P39683	P33203
P16862	P33203
Q04439	P40450
P39683	Q08409
P0CG63	P00359
P0CF34	Q7LHG5
P22204	P40484
P32793	P38266
2.3.1.225	P01120
P53323	P32642
P15891	P39743
P0CG63	P05748
Q12211	EBI-11701537
P89105	P04050
P0CG63	P19657
P14737	P22216
P47150	P43603
Q04697	P39940
P38787	Q08409
P46151	P39940
P36141	P39940
Q06833	P43603
P38753	P40563
P11938	P03069
Q03898	Q00684
P30952	P33203
P17505	P12945
Q12745	P53146
P38887	P33203
P32419	P33203
P43614	P04821
EBI-10821555	Q05022
EBI-11705097	P53759
Q04322	P32793
P43603	P38090
P0CG63	P40343
P40036	P40073
P47137	P40318
P39743	Q06604
P11433	P21268
P16862	P39940
P16467	P40318
P38716	P39940
P39081	Q08685
P47128	P61830
Q06142	Q05166
P41903	P40318
P08524	Q08409
P04387	P04387
P06738	P39940
P39969	Q03780
P47057	P53093
P50076	P04821
Q02574	P38827
P53823	P39940
P04050	P89105
P32867	P40357
P80210	P33203
P04387	P13045
P30952	Q06525
EBI-10824938	P32639
P0CG63	P00330
P47058	Q9URQ3
P04821	P18900
P38081	P33203
P22336	P35187
O13550	P43582
P25039	P33203
P38758	Q06525
Q12114	P40955
Q12186	P36084
P33301	P32829
P04147	P39935
P21242	P22696
P80210	P40318
P10592	P40318
Q06142	Q03790
P13393	P38915
P01094	P22696
P07170	P43582
Q12248	P53267
Q04439	P33334
P53265	P33203
P40956	P32793
P0CG63	P10659
P49686	Q02629
P53089	P22696
Q03446	P39940
EBI-10821373	Q06287
EBI-10916376	Q02555
P53039	P32913
EBI-11701537	P04802
P40483	Q06449
P47068	P40563
P36006	Q08912
P47068	P53933
P09798	P53068
P0CF34	P47101
P06738	P22696
P15873	P15873
P53065	EBI-11681759
P53973	Q06629
P40020	P38041
P53189	P43603
P38111	P34217
P53845	P38815
